method,group_kind,group,dist_from_train,n,known_true_slope,derived_prediction_slope,abs_slope_error,known_true_prevalence,derived_prediction_prevalence,prevalence_error,abs_prevalence_error,auc,liability_pseudo_r2,mae_true_risk,rmse_true_risk,brier,dem,pheno,seed,pgs_mode,centers
znorm,distance,7.0,7.0,250,0.6094327701396178,0.5164978483666621,0.0929349217729557,0.069827476664219,0.1100196393739844,0.0401921627097654,0.0401921627097654,0.7362724994303942,0.1696820527505287,0.0811045884226535,0.1026058743229925,0.0670962063422127,serial1d,phenoB,3,realpt,20
znorm,distance,8.0,8.0,250,0.6930120065776978,0.5909408881673823,0.1020711184103154,0.094506705178872,0.1143988747133864,0.0198921695345144,0.0198921695345144,0.7329055736448956,0.2418024645533501,0.0797113865003187,0.1077784245335562,0.081721418624327,serial1d,phenoB,3,realpt,20
znorm,distance,9.0,9.0,250,0.7173571185062856,0.5637130879455714,0.1536440305607141,0.1245240791465521,0.1127176691095052,-0.0118064100370469,0.0118064100370469,0.6771235521235521,0.257707445036884,0.0792043615120748,0.1114191660298169,0.092902248362662,serial1d,phenoB,3,realpt,20
znorm,deme,0.0,0.0,250,0.7818779586423324,0.3709290234786261,0.4109489351637063,0.1744357552223941,0.1164408666231177,-0.0579948885992764,0.0579948885992764,0.7613751263902933,0.5180184914197965,0.1115687693753282,0.1758504858096413,0.1287281779364567,serial1d,phenoB,3,realpt,20
znorm,deme,1.0,1.0,250,0.817370730022505,0.4227029090854092,0.3946678209370958,0.1028781571527231,0.1096004353844137,0.0067222782316905,0.0067222782316905,0.8261430678466077,0.3917101100579098,0.0876354397180874,0.1250682286692071,0.0756863943596007,serial1d,phenoB,3,realpt,20
znorm,deme,2.0,2.0,250,0.7101265263439863,0.4659611028269009,0.2441654235170854,0.1614606880244844,0.1218956319588331,-0.0395650560656512,0.0395650560656512,0.6356438213914849,0.2665061628673775,0.1135175505677866,0.159721513134349,0.1185914735716079,serial1d,phenoB,3,realpt,20
znorm,deme,3.0,3.0,250,0.510489667072498,0.5066054446477091,0.0038842224247889,0.0655084854512414,0.1132855595964017,0.0477770741451603,0.0477770741451603,0.6866028708133972,0.1870727239789288,0.0809797645082144,0.1037015731151164,0.0779050750421756,serial1d,phenoB,3,realpt,20
znorm,deme,4.0,4.0,250,0.4812383579203789,0.5211018211346894,0.0398634632143105,0.2006790540492305,0.1119863814626524,-0.088692672586578,0.088692672586578,0.6411277643852846,0.1095532948850142,0.1411042252419963,0.2014862332583469,0.1535262227448815,serial1d,phenoB,3,realpt,20
znorm,deme,5.0,5.0,250,0.5878016013827457,0.5874975508376576,0.000304050545088,0.0872725106253103,0.1091842998514233,0.021911789226113,0.021911789226113,0.5847288676236044,0.1726355909335292,0.0773000893796539,0.1067278546318358,0.0829316293181545,serial1d,phenoB,3,realpt,20
znorm,deme,6.0,6.0,250,0.7745701816238718,0.6306245048162363,0.1439456768076354,0.0839348058326398,0.108713810520252,0.0247790046876122,0.0247790046876122,0.7337072649572649,0.2870007968321479,0.077031366218203,0.0981681326760915,0.056871154213982,serial1d,phenoB,3,realpt,20
znorm,deme,7.0,7.0,250,0.6094327701396178,0.5164978483666621,0.0929349217729557,0.069827476664219,0.1100196393739844,0.0401921627097654,0.0401921627097654,0.7362724994303942,0.1696820527505287,0.0811045884226535,0.1026058743229925,0.0670962063422127,serial1d,phenoB,3,realpt,20
znorm,deme,8.0,8.0,250,0.6930120065776978,0.5909408881673823,0.1020711184103154,0.094506705178872,0.1143988747133864,0.0198921695345144,0.0198921695345144,0.7329055736448956,0.2418024645533501,0.0797113865003187,0.1077784245335562,0.081721418624327,serial1d,phenoB,3,realpt,20
