seed,scenario,divergence_gens,n_near_tags,n_far_tags,r2_near_pop0,r2_near_pop1,ratio_near,r2_far_pop0,r2_far_pop1,ratio_far,r2_far_pop1_het_neutral,ratio_far_het_neutral,r2_far_pop1_ld_destroy,ratio_far_ld_destroy,delta_ratio_near_minus_far,delta_ratio_het_intervention,delta_ratio_ld_destroy,r2_null_pop0,r2_null_pop1,mean_abs_maf_diff_near,mean_abs_maf_diff_far,delta_hetero_far_pop1_minus_pop0,beta_corr_far_pop0_vs_pop1
2,divergence,100,384,384,0.5839281173638167,0.5073138468802775,0.8687950310914646,0.4455550140975722,0.3133569891853119,0.7032958428713582,0.30981776007520995,0.695352426237903,0.0028532166821986444,0.006403735996502146,0.16549918822010645,-0.007943416633455103,-0.696892106874856,0.015405829070668581,0.0003424156930587019,0.02394504123263889,0.023246527777777776,-0.003839787688078744,0.5434698743181087
1,divergence,100,380,380,0.5390217732137236,0.38208921837366683,0.7088567426425044,0.4589883656607363,0.1835955374896801,0.4000004166236007,0.17440703434418625,0.37998138382684005,0.0001713630619218769,0.00037334946752994784,0.3088563260189037,-0.02001903279676065,-0.39962706715607077,0.00014786890769470366,0.010734700350213318,0.02284155701754386,0.02290899122807018,0.0006873123400950865,0.39310899995869386
4,divergence,100,384,384,0.5867481078229185,0.4652475648734141,0.792925547897679,0.39345276078415087,0.27626361719198433,0.7021519346856057,0.27919298727837916,0.7095972251457783,0.00040112030067586635,0.001019487828415371,0.09077361321207333,0.0074452904601726155,-0.7011324468571903,0.004341725667396394,0.0015548902489416019,0.026048990885416665,0.026663953993055555,0.0005053552698205677,0.5164029416878555
3,divergence,100,374,374,0.4870008778523689,0.3135113980367847,0.6437594104949922,0.41001116557396744,0.2057969232382267,0.5019300461004158,0.20110022719498263,0.49047500185382986,0.00265073386631377,0.006465028489170665,0.14182936439457638,-0.011455044246585944,-0.4954650176112451,0.053263030672171134,0.028312618543353547,0.02351381461675579,0.024906974153297682,0.0014484486408199992,0.4731163139253878
5,divergence,100,385,385,0.5821008715939731,0.39747557988241977,0.6828293845257578,0.4376630687771001,0.2248900635383907,0.5138429069804065,0.21401911892004452,0.48900429163019815,2.3771278985404436e-05,5.4314107543561196e-05,0.16898647754535134,-0.024838615350208315,-0.5137885928728629,0.00622776998179615,0.0026579187942973232,0.024778679653679653,0.023455086580086583,0.0007687984758297239,0.567000719847545
7,divergence,100,378,378,0.5987567974202311,0.4513160745460581,0.7537552416783783,0.4984782781070562,0.3035258146419172,0.6089047968038642,0.3211842046873539,0.644329389651708,8.109337857459363e-05,0.00016268187027635643,0.14485044487451404,0.03542459284784383,-0.6087421149335879,0.024220848148072908,0.00309225215109421,0.025202821869488537,0.02683779761904762,0.0052872096721597595,0.5202793238871658
6,divergence,100,380,380,0.6367290890010503,0.48387108243490307,0.7599324277677298,0.49183299984899276,0.35443530486592295,0.7206415693431409,0.33691911156185594,0.685027461893163,0.00048230705111059575,0.000980631741381075,0.039290858424588904,-0.03561410744997795,-0.7196609376017599,0.04654046534607825,0.04968664927333937,0.025084978070175436,0.02604632675438597,0.001540877021655701,0.5783503874354223
8,divergence,100,384,384,0.5239575590134424,0.3769483660684684,0.7194253801361754,0.43926398184946613,0.2287934290195785,0.520856338041358,0.22269704155366607,0.5069776962272845,2.0074998981663984e-05,4.570144562534062e-05,0.1985690420948174,-0.0138786418140735,-0.5208106365957327,5.052487033182643e-05,0.005555235961037842,0.027574598524305553,0.023968641493055554,0.002596968361183477,0.4336704747735473
2,divergence,500,385,385,0.5044947926514208,0.3337046060523378,0.6614629346291588,0.41279686467644305,0.05064019133964021,0.12267581387599158,0.07756505508323128,0.18790126989948927,4.074017526659219e-06,9.869303464435228e-06,0.5387871207531673,0.06522545602349769,-0.12266594457252715,0.00828048858691691,0.0005169532011953524,0.048130952380952385,0.05076596320346321,-0.007178980147456743,0.2648072194904785
1,divergence,500,383,383,0.5027553497426117,0.2352373510205059,0.4678962663270255,0.4119129105255126,0.03049470601637399,0.07403192577156487,0.04102709090458287,0.09960137168859576,5.40751306542e-05,0.0001312780669710297,0.39386434055546066,0.025569445917030892,-0.07390064770459384,0.020300572630736737,0.007198382601925833,0.05397329199303742,0.05389251523063533,-0.001953709520960245,0.1498054035858942
